Temperature[C],Humidity[%],Pressure[hPa],CO(V),Fire Alarm
15.197,49.43,939.073,0.25,1
15.207,49.06,939.073,0.225,1
15.216,48.83,939.078,0.692,1
15.226,48.55,939.082,0.72,1
15.235,48.39,939.075,0.131,1
15.245,48.22,939.071,0.48,1
15.254,48.12,939.073,0.682,1
15.264,47.96,939.078,0.202,1
15.273,47.86,939.068,0.483,1
15.282,47.76,939.068,0.265,1
15.292,47.71,939.066,0.693,1
15.301,47.64,939.068,0.829,1
15.311,47.54,939.064,0.918,1
15.32,47.49,939.07,0.993,1
15.329,47.44,939.065,0.447,1
15.339,47.34,939.048,0.004,1
15.348,47.33,939.052,0.053,1
15.358,47.25,939.043,0.136,1
15.367,47.23,939.039,0.808,1
15.376,47.17,939.041,0.74,1
15.386,47.15,939.051,0.019,1
15.395,47.12,939.053,0.336,1
15.404,47.06,939.046,0.282,1
15.414,47.02,939.049,0.386,1
15.423,47.01,939.049,0.233,1
15.432,47.71,939.046,0.056,1
15.442,48.56,939.05,0.178,1
15.451,49.33,939.052,0.491,1
15.46,49.95,939.048,0.661,1
15.47,50.54,939.049,0.629,1
15.479,50.92,939.037,0.673,1
15.488,51.26,939.047,0.339,1
15.498,51.56,939.053,0.927,1
15.507,51.78,939.049,0.76,1
15.516,52.0,939.05,0.75,1
15.525,52.19,939.051,0.443,1
15.535,52.33,939.054,0.821,1
15.544,52.46,939.043,0.222,1
15.553,52.56,939.037,0.015,1
15.562,52.69,939.034,0.235,1
15.572,52.76,939.039,0.494,1
15.581,52.84,939.037,0.276,1
15.59,52.92,939.037,0.904,1
15.599,52.99,939.026,0.572,1
15.609,53.03,939.025,0.379,1
15.618,53.13,939.036,0.851,1
15.627,53.17,939.042,0.718,1
15.636,53.23,939.04,0.689,1
15.645,53.3,939.029,0.878,1
15.655,53.28,939.019,0.874,1
15.664,53.35,939.021,0.17,1
15.673,53.37,939.026,0.414,1
15.682,53.42,939.039,0.295,1
15.691,53.44,939.038,0.853,1
15.701,53.53,939.041,0.273,1
15.71,52.78,939.034,0.132,1
15.719,51.83,939.037,0.961,1
15.728,51.0,939.035,0.582,1
15.737,50.34,939.039,0.5,1
15.746,49.85,939.04,0.096,1
15.755,49.37,939.04,0.984,1
15.765,49.04,939.028,0.08,1
15.774,48.78,939.033,0.341,1
15.783,48.54,939.04,0.746,1
15.792,48.35,939.04,0.747,1
15.801,48.17,939.035,0.187,1
15.81,48.06,939.036,0.863,1
15.819,47.93,939.041,0.341,1
15.828,47.8,939.031,0.976,1
15.837,47.71,939.029,0.94,1
15.847,47.63,939.036,0.917,1
15.856,47.56,939.045,0.663,1
15.865,47.53,939.041,0.705,1
15.874,47.42,939.036,0.394,1
15.883,47.37,939.024,0.334,1
15.892,47.35,939.03,0.265,1
15.901,47.28,939.037,0.792,1
15.91,47.24,939.033,0.711,1
15.919,47.16,939.028,0.486,1
15.928,47.12,939.024,0.813,1
15.937,47.12,939.029,0.88,1
15.946,47.05,939.029,0.778,1
15.955,47.02,939.028,0.022,1
15.964,47.0,939.029,0.642,1
15.973,46.97,939.036,0.413,1
15.982,47.69,939.046,0.627,1
15.991,48.49,939.04,0.989,1
16.0,49.32,939.026,0.125,1
16.009,49.94,939.03,0.395,1
16.018,50.44,939.02,0.859,1
16.027,50.88,939.015,0.635,1
16.036,51.22,939.011,0.558,1
16.045,51.55,939.011,0.948,1
16.054,51.75,939.013,0.214,1
16.063,51.99,939.025,0.961,1
16.072,52.15,939.029,0.074,1
16.081,52.27,939.033,0.545,1
16.089,52.39,939.019,0.725,1
16.098,52.49,939.023,0.226,1
16.107,52.63,939.026,0.569,1
16.116,52.72,939.03,0.101,1
16.125,52.8,939.032,0.456,1
16.134,52.88,939.043,0.257,1
16.143,52.99,939.042,0.04,1
16.152,53.01,939.034,0.98,1
16.161,53.11,939.033,0.328,1
16.169,53.19,939.031,0.846,1
16.178,53.22,939.02,0.961,1
16.187,53.29,939.029,0.389,1
16.196,53.3,939.037,0.504,1
16.205,53.39,939.037,0.461,1
16.214,53.39,939.042,0.704,1
16.222,53.45,939.035,0.513,1
16.231,53.49,939.042,0.104,1
16.24,53.53,939.055,0.092,1
16.249,52.78,939.063,0.947,1
16.258,51.87,939.055,0.521,1
16.267,51.05,939.062,0.627,1
16.275,50.37,939.05,0.253,1
16.284,49.85,939.058,0.307,1
16.293,49.4,939.056,0.338,1
16.302,49.04,939.052,0.912,1
16.31,48.74,939.049,0.392,1
16.319,48.54,939.047,0.456,1
16.328,48.38,939.051,0.895,1
16.337,48.2,939.055,0.691,1
16.345,48.06,939.055,0.032,1
16.354,47.91,939.048,0.876,1
16.363,47.82,939.044,0.887,1
16.372,47.75,939.051,0.401,1
16.38,47.65,939.048,0.913,1
16.389,47.59,939.05,0.166,1
16.398,47.53,939.049,0.022,1
16.406,47.45,939.049,0.778,1
16.415,47.37,939.057,0.114,1
16.424,47.35,939.054,0.42,1
16.432,47.24,939.051,0.476,1
16.441,47.26,939.048,0.825,1
16.45,47.2,939.053,0.192,1
16.458,47.13,939.056,0.19,1
16.467,47.03,939.054,0.541,1
16.476,47.01,939.055,0.988,1
16.484,47.03,939.056,0.713,1
16.493,46.97,939.041,0.691,1
16.502,46.95,939.047,0.133,1
16.51,47.63,939.053,0.521,1
16.519,48.51,939.055,0.726,1
16.527,49.25,939.058,0.428,1
16.536,49.91,939.047,0.342,1
16.545,50.45,939.032,0.55,1
16.553,50.89,939.027,0.727,1
16.562,51.22,939.027,0.316,1
16.57,51.49,939.042,0.982,1
16.579,51.73,939.045,0.982,1
16.588,51.95,939.044,0.521,1
16.596,52.14,939.032,0.388,1
16.605,52.29,939.038,0.064,1
16.613,52.44,939.034,0.951,1
16.622,52.56,939.045,0.2,1
16.63,52.65,939.041,0.09,1
16.639,52.79,939.039,0.951,1
16.647,52.84,939.034,0.325,1
16.656,52.93,939.025,0.16,1
16.664,52.98,939.021,0.577,1
16.673,53.06,939.016,0.343,1
16.681,53.13,939.021,0.177,1
16.69,53.15,939.019,0.431,1
16.698,53.23,939.03,0.276,1
16.707,53.3,939.017,0.94,1
16.715,53.34,939.027,0.614,1
16.724,53.4,939.028,0.457,1
16.732,53.43,939.035,0.746,1
16.741,53.45,939.042,0.721,1
16.749,53.52,939.038,0.476,1
16.757,53.53,939.029,0.094,1
16.766,52.79,939.031,0.622,1
16.774,51.86,939.033,0.838,1
16.783,51.05,939.028,0.793,1
16.791,50.33,939.038,0.285,1
16.799,49.82,939.041,0.08,1
16.808,49.39,939.047,0.526,1
16.816,49.03,939.045,0.242,1
16.825,48.78,939.028,0.253,1
16.833,48.5,939.033,0.556,1
16.841,48.32,939.038,0.615,1
16.85,48.19,939.036,0.944,1
16.858,48.01,939.039,0.132,1
16.866,47.91,939.037,0.035,1
16.875,47.78,939.031,0.173,1
16.883,47.71,939.039,0.315,1
16.891,47.65,939.048,0.918,1
16.9,47.55,939.043,0.857,1
16.908,47.5,939.045,0.387,1
16.916,47.42,939.037,0.934,1
16.925,47.39,939.035,0.267,1
16.933,47.33,939.031,0.537,1
16.941,47.29,939.023,0.438,1
16.949,47.2,939.017,0.145,1
16.958,47.14,939.029,0.616,1
16.966,47.12,939.035,0.169,1
16.974,47.1,939.018,0.229,1
16.982,47.04,939.017,0.188,1
16.991,47.04,939.011,0.784,1
16.999,46.97,939.011,0.991,1
17.007,46.96,939.009,0.494,1
17.015,47.67,939.002,0.023,1
17.024,48.55,939.009,0.763,1
17.032,49.28,939.006,0.332,1
17.04,49.92,939.021,0.183,1
17.048,50.44,939.027,0.835,1
17.056,50.82,939.02,0.395,1
17.065,51.18,939.021,0.731,1
17.073,51.55,939.024,0.712,1
17.081,51.75,939.032,0.87,1
17.089,51.95,939.024,0.616,1
17.097,52.14,939.018,0.916,1
17.105,52.31,939.013,0.041,1
17.113,52.4,939.015,0.881,1
17.122,52.51,939.014,0.942,1
17.13,52.62,939.015,0.171,1
17.138,52.69,939.022,0.464,1
17.146,52.79,939.026,0.773,1
17.154,52.85,939.013,0.522,1
17.162,52.94,939.014,0.143,1
17.17,52.97,939.006,0.062,1
17.178,53.05,939.01,0.274,1
17.186,53.07,939.003,0.434,1
17.194,53.13,939.011,0.967,1
17.203,53.18,939.011,0.338,1
17.211,53.23,939.011,0.351,1
17.219,53.29,939.02,0.111,1
17.227,53.3,939.019,0.735,1
17.235,53.38,939.018,0.2,1
17.243,53.41,939.01,0.11,1
17.251,53.44,939.004,0.343,1
17.259,52.71,938.999,0.567,1
17.267,51.76,938.997,0.298,1
17.275,50.9,938.982,0.741,1
17.283,50.25,938.982,0.437,1
17.291,49.74,938.988,0.216,1
17.299,49.28,938.993,0.11,1
17.307,48.95,938.983,0.546,1
17.315,48.68,938.989,0.325,1
17.323,48.46,938.989,0.249,1
17.33,48.24,939.0,0.677,1
17.338,48.06,938.994,0.298,1
17.346,47.97,938.992,0.93,1
17.354,47.86,938.997,0.327,1
17.362,47.78,939.001,0.68,1
17.37,47.67,939.001,0.268,1
17.378,47.6,939.006,0.225,1
17.386,47.52,939.013,0.011,1
17.394,47.5,939.008,0.58,1
17.402,47.42,939.01,0.368,1
17.41,47.34,939.004,0.13,1
17.417,47.3,939.003,0.648,1
17.425,47.25,938.998,0.033,1
17.433,47.16,938.99,0.024,1
17.441,47.18,938.994,0.473,1
17.449,47.1,938.991,0.219,1
17.457,47.05,938.994,0.596,1
17.464,46.99,939.002,0.555,1
17.472,46.99,939.007,0.959,1
17.48,46.96,939.017,0.146,1
17.488,46.92,939.013,0.916,1
17.496,47.66,939.006,0.403,1
17.503,48.54,939.002,0.516,1
17.511,49.3,939.008,0.977,1
17.519,49.93,938.993,0.793,1
17.527,50.46,939.014,0.963,1
17.535,50.92,939.029,0.755,1
17.542,51.24,939.033,0.514,1
17.55,51.56,939.023,0.531,1
17.558,51.8,939.028,0.155,1
17.565,51.97,939.028,0.361,1
17.573,52.13,939.032,0.551,1
17.581,52.27,939.046,0.319,1
17.589,52.4,939.045,0.569,1
17.596,52.51,939.054,0.524,1
17.604,52.61,939.043,0.536,1
17.612,52.65,939.049,0.994,1
17.619,52.76,939.048,0.799,1
17.627,52.82,939.047,0.942,1
17.635,52.87,939.045,0.763,1
17.642,52.97,939.035,1.0,1
17.65,53.03,939.038,0.481,1
17.658,53.07,939.037,0.917,1
17.665,53.16,939.029,0.611,1
17.673,53.17,939.025,0.937,1
17.68,53.24,939.033,0.788,1
17.688,53.26,939.034,0.913,1
17.696,53.27,939.029,0.986,1
17.703,53.31,939.016,0.773,1
17.711,53.35,939.017,0.496,1
17.718,53.42,939.021,0.133,1
17.726,52.63,939.024,0.813,1
17.734,51.71,939.015,0.486,1
17.741,50.92,939.019,0.354,1
17.749,50.23,939.032,0.648,1
17.756,49.68,939.035,0.278,1
17.764,49.26,939.033,0.602,1
17.771,48.91,939.041,0.024,1
17.779,48.66,939.035,0.724,1
17.786,48.46,939.035,0.63,1
17.794,48.24,939.037,0.565,1
17.801,48.05,939.03,0.089,1
17.809,47.91,939.031,0.486,1
17.816,47.82,939.033,0.064,1
17.824,47.71,939.018,0.187,1
17.831,47.63,939.016,0.926,1
17.839,47.59,939.016,0.587,1
17.846,47.5,939.023,0.903,1
17.853,47.42,939.04,0.934,1
17.861,47.39,939.024,0.378,1
17.868,47.28,939.014,0.573,1
17.876,47.28,939.014,0.537,1
17.883,47.21,939.009,0.573,1
17.891,47.13,939.006,0.525,1
17.898,47.1,939.019,0.053,1
17.905,47.06,939.014,0.912,1
17.913,47.01,939.031,0.203,1
17.92,47.03,939.022,0.525,1
17.927,46.96,939.028,0.225,1
17.935,46.94,939.032,0.645,1
17.942,46.92,939.018,0.947,1
17.949,47.63,939.016,0.58,1
17.957,48.49,939.005,0.624,1
17.964,49.27,939.0,0.877,1
17.971,49.87,939.013,0.898,1
17.979,50.4,939.018,0.371,1
17.986,50.85,939.009,0.497,1
17.993,51.15,939.01,0.017,1
18.001,51.47,939.018,0.744,1
18.008,51.72,939.015,0.597,1
18.015,51.9,939.016,0.433,1
18.022,52.09,939.014,0.408,1
18.03,52.18,939.011,0.195,1
18.037,52.35,939.02,0.374,1
18.044,52.5,939.017,0.232,1
18.051,52.6,939.015,0.63,1
18.058,52.64,939.0,0.779,1
18.066,52.74,938.989,0.418,1
18.073,52.81,938.998,0.107,1
18.08,52.89,938.995,0.221,1
18.087,52.91,938.997,0.538,1
18.094,53.03,938.998,0.109,1
18.102,53.08,938.995,0.285,1
18.109,53.09,939.004,0.681,1
18.116,53.16,939.008,0.233,1
18.123,53.21,939.009,0.399,1
18.13,53.24,939.017,0.692,1
18.137,53.27,939.014,0.572,1
18.144,53.34,939.013,0.08,1
18.152,53.35,939.017,0.053,1
18.159,53.38,939.018,0.47,1
18.166,52.62,939.033,0.985,1
18.173,51.74,939.029,0.183,1
18.18,50.89,939.015,0.784,1
18.187,50.27,939.016,0.961,1
18.194,49.76,939.008,0.786,1
18.201,49.29,939.005,0.697,1
18.208,48.96,939.011,0.576,1
18.215,48.66,939.015,0.09,1
18.222,48.46,939.016,0.48,1
18.229,48.24,939.023,0.261,1
18.236,48.07,939.025,0.399,1
18.243,47.99,939.018,0.118,1
18.25,47.87,939.027,0.152,1
18.257,47.74,939.022,0.949,1
18.264,47.61,939.008,0.657,1
18.271,47.56,939.008,0.414,1
18.278,47.44,939.006,0.115,1
18.285,47.37,938.998,0.68,1
18.292,47.32,939.005,0.295,1
18.299,47.23,939.013,0.876,1
18.306,47.2,939.014,0.346,1
18.313,47.16,939.021,0.405,1
18.32,47.08,939.025,0.13,1
18.327,47.04,939.037,0.995,1
18.334,47.04,939.031,0.825,1
18.341,47.01,939.023,0.42,1
18.347,46.96,939.016,0.61,1
18.354,46.94,939.028,0.548,1
18.361,46.89,939.027,0.139,1
18.368,46.85,939.026,0.42,1
18.375,47.66,939.028,0.662,1
18.382,48.51,939.027,0.161,1
18.389,49.26,939.03,0.995,1
18.395,49.94,939.028,0.246,1
18.402,50.48,939.029,0.228,1
18.409,50.85,939.038,0.439,1
18.416,51.17,939.032,0.49,1
18.423,51.46,939.039,0.877,1
18.429,51.69,939.031,0.999,1
18.436,51.91,939.03,0.02,1
18.443,52.1,939.049,0.051,1
18.45,52.27,939.05,0.92,1
18.456,52.36,939.04,0.45,1
18.463,52.51,939.026,0.503,1
18.47,52.61,939.033,0.634,1
18.477,52.69,939.03,0.308,1
18.483,52.77,939.029,0.973,1
18.49,52.83,939.03,0.202,1
18.497,52.88,939.031,0.564,1
18.503,52.98,939.023,0.946,1
18.51,53.01,939.033,0.628,1
18.517,53.12,939.017,0.742,1
18.524,53.15,939.017,0.177,1
18.53,53.2,939.02,0.402,1
18.537,53.27,939.03,0.718,1
18.543,53.3,939.02,0.591,1
18.55,53.34,939.026,0.522,1
18.557,53.35,939.032,0.593,1
18.563,53.41,939.039,0.346,1
18.57,53.47,939.037,0.974,1
18.577,52.7,939.035,0.049,1
18.583,51.75,939.026,0.348,1
18.59,50.95,939.025,0.882,1
18.596,50.23,939.039,0.02,1
18.603,49.72,939.04,0.651,1
18.609,49.31,939.027,0.765,1
18.616,48.95,939.02,0.349,1
18.622,48.68,939.028,0.027,1
18.629,48.43,939.029,0.36,1
18.636,48.24,939.033,0.249,1
18.642,48.11,939.047,0.054,1
18.649,48.01,939.055,0.018,1
18.655,47.88,939.062,0.877,1
18.662,47.76,939.05,0.961,1
18.668,47.69,939.043,0.15,1
18.674,47.59,939.048,0.635,1
18.681,47.54,939.046,0.335,1
18.687,47.44,939.047,0.024,1
18.694,47.42,939.045,0.334,1
18.7,47.32,939.036,0.483,1
18.707,47.26,939.039,0.202,1
18.713,47.2,939.025,0.973,1
18.72,47.13,939.021,0.104,1
18.726,47.1,939.022,0.357,1
18.732,47.1,939.012,0.092,1
18.739,47.04,939.015,0.701,1
18.745,46.99,939.019,0.976,1
18.751,46.95,939.021,0.871,1
18.758,46.98,939.033,0.72,1
18.764,46.9,939.039,0.614,1
18.77,47.62,939.03,0.662,1
18.777,48.49,939.037,0.802,1
18.783,49.23,939.04,0.913,1
18.789,49.88,939.034,0.641,1
18.796,50.4,939.041,0.042,1
18.802,50.8,939.033,0.687,1
18.808,51.19,939.027,0.758,1
18.815,51.45,939.038,0.008,1
18.821,51.67,939.049,0.014,1
18.827,51.9,939.04,0.826,1
18.833,52.09,939.025,0.674,1
18.84,52.25,939.025,0.828,1
18.846,52.36,939.032,0.626,1
18.852,52.48,939.029,0.395,1
18.858,52.54,939.033,0.904,1
18.864,52.66,939.036,0.694,1
18.871,52.73,939.035,0.508,1
18.877,52.81,939.037,0.935,1
18.883,52.87,939.038,0.426,1
18.889,52.92,939.024,0.306,1
18.895,53.02,939.019,0.166,1
18.902,53.03,939.02,0.395,1
18.908,53.08,939.013,0.583,1
18.914,53.16,939.015,0.023,1
18.92,53.19,939.009,0.626,1
18.926,53.18,938.998,0.618,1
18.932,53.23,939.0,0.929,1
18.938,53.32,938.997,0.673,1
18.944,53.31,939.003,0.711,1
18.95,53.36,939.003,0.161,1
18.956,52.61,939.013,0.723,1
18.963,51.62,939.009,0.306,1
18.969,50.84,939.014,0.354,1
18.975,50.15,939.009,0.024,1
18.981,49.6,939.007,0.63,1
18.987,49.23,939.001,0.498,1
18.993,48.88,938.995,0.915,1
18.999,48.6,938.986,0.772,1
19.005,48.38,938.996,0.954,1
19.011,48.14,938.992,0.509,1
19.017,47.98,938.99,0.976,1
19.023,47.84,938.992,0.321,1
19.029,47.76,938.99,0.597,1
19.035,47.67,938.986,0.471,1
19.041,47.58,938.975,0.175,1
19.046,47.5,938.989,0.111,1
19.052,47.43,938.991,0.468,1
19.058,47.36,938.996,0.069,1
19.064,47.33,938.991,0.529,1
19.07,47.25,938.995,0.337,1
19.076,47.18,939.006,0.359,1
19.082,47.14,939.004,0.761,1
19.088,47.11,939.007,0.181,1
19.094,47.03,939.002,0.777,1
19.099,47.0,939.0,0.379,1
19.105,46.97,939.006,0.986,1
19.111,46.93,939.007,0.809,1
19.117,46.91,939.005,0.426,1
19.123,46.83,939.012,0.855,1
19.129,46.86,939.014,0.122,1
19.134,47.61,939.012,0.282,1
19.14,48.42,939.011,0.03,1
19.146,49.2,939.008,0.911,1
19.152,49.87,939.009,0.11,1
19.157,50.37,939.01,0.233,1
19.163,50.82,939.012,0.86,1
19.169,51.13,939.014,0.602,1
19.175,51.44,939.0,0.95,1
19.18,51.68,938.985,0.267,1
19.186,51.9,938.983,0.995,1
19.192,52.05,938.983,0.478,1
19.198,52.2,938.988,0.142,1
19.203,52.34,938.985,0.364,1
19.209,52.51,938.982,0.56,1
19.215,52.56,938.983,0.945,1
19.22,52.63,938.985,0.378,1
19.226,52.75,938.981,0.036,1
19.231,52.8,938.973,0.903,1
19.237,52.87,938.978,0.082,1
19.243,52.94,938.981,0.274,1
19.248,53.0,938.989,0.082,1
19.254,53.05,938.991,0.455,1
19.26,53.07,938.993,0.746,1
19.265,53.15,939.004,0.028,1
19.271,53.2,938.997,0.08,1
19.276,53.24,938.991,0.969,1
19.282,53.24,938.991,0.064,1
19.287,53.28,938.986,0.239,1
19.293,53.34,938.993,0.857,1
19.298,53.36,939.011,0.007,1
19.304,52.58,938.991,0.255,1
19.309,51.65,938.995,0.485,1
19.315,50.82,938.993,0.001,1
19.32,50.17,938.989,0.876,1
19.326,49.61,938.981,0.98,1
19.331,49.16,938.967,0.615,1
19.337,48.8,938.98,0.358,1
19.342,48.59,938.977,0.081,1
19.348,48.34,938.983,0.072,1
19.353,48.17,938.976,0.669,1
19.359,47.95,938.984,0.344,1
19.364,47.85,938.985,0.732,1
19.369,47.73,938.978,0.724,1
19.375,47.59,938.977,0.927,1
19.38,47.52,938.985,0.497,1
19.386,47.41,938.974,0.35,1
19.391,47.36,938.977,0.833,1
19.396,47.28,938.982,0.81,1
19.402,47.22,938.97,0.121,1
19.407,47.17,938.964,0.182,1
19.412,47.12,938.962,1.0,1
19.418,47.02,938.964,0.574,1
19.423,47.03,938.97,0.654,1
19.428,46.98,938.969,0.669,1
19.433,46.95,938.966,0.503,1
19.439,46.9,938.968,0.643,1
19.444,46.89,938.97,0.323,1
19.449,46.84,938.978,0.588,1
19.454,46.85,938.984,0.83,1
19.46,46.79,938.975,0.06,1
19.465,47.58,938.982,0.817,1
19.47,48.34,938.981,0.659,1
19.475,49.13,938.978,0.769,1
19.481,49.78,938.99,0.76,1
19.486,50.33,938.994,0.195,1
19.491,50.74,938.993,0.08,1
19.496,51.06,938.991,0.833,1
19.501,51.4,938.986,0.926,1
19.506,51.59,938.985,0.465,1
19.512,51.85,938.98,0.324,1
19.517,52.03,938.99,0.193,1
19.522,52.18,938.998,0.089,1
19.527,52.33,938.998,0.551,1
19.532,52.45,938.999,0.136,1
19.537,52.57,938.995,0.414,1
19.542,52.64,939.002,0.769,1
19.547,52.73,938.998,0.756,1
19.552,52.82,938.994,0.218,1
19.557,52.87,938.994,0.443,1
19.562,52.98,938.99,0.208,1
19.567,53.05,938.987,0.063,1
19.572,53.09,938.984,0.52,1
19.577,53.16,938.981,0.666,1
19.582,53.18,938.991,0.423,1
19.587,53.21,938.993,0.019,1
19.592,53.25,938.978,0.031,1
19.597,53.35,938.996,0.222,1
19.602,53.33,939.002,0.918,1
19.607,53.4,938.991,0.257,1
19.612,53.44,938.986,0.194,1
19.617,52.69,938.989,0.733,1
19.622,51.75,938.987,0.918,1
19.627,50.94,938.978,0.901,1
19.632,50.26,938.981,0.642,1
19.637,49.72,938.979,0.124,1
19.642,49.27,938.974,0.901,1
19.647,48.92,938.974,0.164,1
19.651,48.66,938.982,0.954,1
19.656,48.38,938.978,0.028,1
19.661,48.23,938.988,0.49,1
19.666,48.07,938.988,0.129,1
19.671,47.9,938.996,0.762,1
19.676,47.79,938.995,0.851,1
19.68,47.66,939.003,0.945,1
19.685,47.58,939.011,0.891,1
19.69,47.53,939.01,0.286,1
19.695,47.43,939.022,0.731,1
19.699,47.36,939.02,0.654,1
19.704,47.32,939.016,0.775,1
19.709,47.21,939.009,0.505,1
19.714,47.23,938.991,0.621,1
19.718,47.14,938.999,0.913,1
19.723,47.07,939.004,0.924,1
19.728,47.03,939.005,0.826,1
19.733,47.0,938.997,0.995,1
19.737,46.95,938.993,0.768,1
19.742,46.89,939.003,0.442,1
19.747,46.89,938.997,0.394,1
19.751,46.86,938.98,0.685,1
19.756,46.85,938.985,0.06,1
19.76,47.59,938.997,0.994,1
19.765,48.47,938.991,0.768,1
19.77,49.19,938.988,0.448,1
19.774,49.84,938.999,0.651,1
19.779,50.33,939.005,0.06,1
19.783,50.78,939.012,0.084,1
19.788,51.11,939.011,0.079,1
19.793,51.42,938.996,0.981,1
19.797,51.65,938.995,0.988,1
19.802,51.84,938.997,0.516,1
19.806,51.98,939.007,0.383,1
19.811,52.15,939.015,0.395,1
19.815,52.3,939.014,0.37,1
19.82,52.38,939.006,0.31,1
19.824,52.49,939.006,0.312,1
19.829,52.56,938.996,0.189,1
19.833,52.66,938.994,0.035,1
19.838,52.74,938.998,0.082,1
19.842,52.8,939.008,0.692,1
19.846,52.85,939.011,0.31,1
19.851,52.93,939.004,0.512,1
19.855,53.01,939.009,0.896,1
19.86,53.04,939.004,0.974,1
19.864,53.12,938.995,0.147,1
19.868,53.16,938.983,0.212,1
19.873,53.22,938.985,0.738,1
19.877,53.23,938.988,0.422,1
19.882,53.29,938.991,0.801,1
19.886,53.32,938.987,0.908,1
19.89,53.33,938.99,0.772,1
19.895,52.58,938.984,0.635,1
19.899,51.63,938.995,0.836,1
19.903,50.79,938.998,0.286,1
19.907,50.12,938.988,0.981,1
19.912,49.58,938.986,0.572,1
19.916,49.15,938.987,0.719,1
19.92,48.82,938.988,0.277,1
19.924,48.54,938.985,0.829,1
19.929,48.27,938.987,0.689,1
19.933,48.11,938.985,0.53,1
19.937,47.99,938.987,0.647,1
19.941,47.85,938.987,0.173,1
19.946,47.68,938.983,0.639,1
19.95,47.63,938.979,0.954,1
19.954,47.51,938.97,0.254,1
19.958,47.41,938.962,0.228,1
19.962,47.34,938.965,0.392,1
19.966,47.3,938.97,0.279,1
19.97,47.24,938.972,0.78,1
19.975,47.17,938.974,0.733,1
19.979,47.12,938.979,0.809,1
19.983,47.09,938.993,0.631,1
19.987,47.02,938.983,0.397,1
19.991,47.0,938.98,0.662,1
19.995,46.95,938.979,0.455,1
19.999,46.93,938.983,0.297,1
20.003,46.91,938.985,0.703,1
20.007,46.83,938.972,0.691,1
20.011,46.86,938.972,0.094,1
20.015,46.87,938.957,0.689,1
20.019,47.53,938.964,0.663,1
20.023,48.43,938.962,0.294,1
20.027,49.18,938.967,0.448,1
20.031,49.84,938.964,0.416,1
20.035,50.34,938.968,0.37,1
20.039,50.74,938.969,0.671,1
20.043,51.11,938.969,0.212,1
20.047,51.37,938.965,0.862,1
20.051,51.61,938.977,0.794,1
20.055,51.86,938.971,0.976,1
20.059,52.05,938.974,0.872,1
20.063,52.14,938.968,0.083,1
20.066,52.27,938.958,0.29,1
20.07,52.35,938.946,0.829,1
20.074,52.5,938.956,0.457,1
20.078,52.6,938.963,0.934,1
20.082,52.69,938.962,0.99,1
20.086,52.72,938.955,0.208,1
20.089,52.8,938.966,0.29,1
20.093,52.89,938.954,0.072,1
20.097,52.92,938.949,0.562,1
20.101,52.97,938.958,0.061,1
20.105,53.03,938.959,0.503,1
20.108,53.11,938.962,0.83,1
20.112,53.14,938.972,0.586,1
20.116,53.18,938.967,0.634,1
20.12,53.25,938.972,0.046,1
20.123,53.27,938.965,0.032,1
20.127,53.28,938.966,0.532,1
20.131,53.33,938.958,0.106,1
20.134,52.58,938.959,0.869,1
20.138,51.61,938.953,0.399,1
20.142,50.79,938.962,0.78,1
20.145,50.09,938.961,0.597,1
20.149,49.55,938.962,0.517,1
20.153,49.11,938.953,0.094,1
20.156,48.85,938.954,0.787,1
20.16,48.52,938.955,0.733,1
20.164,48.31,938.969,0.569,1
20.167,48.15,938.973,0.101,1
20.171,47.97,938.971,0.841,1
20.174,47.8,938.969,0.401,1
20.178,47.65,938.969,0.499,1
20.182,47.58,938.962,0.701,1
20.185,47.49,938.967,0.985,1
20.189,47.43,938.964,0.457,1
20.192,47.34,938.968,0.345,1
20.196,47.34,938.963,0.087,1
20.199,47.26,938.96,0.513,1
20.203,47.19,938.963,0.441,1
20.206,47.14,938.964,0.336,1
20.21,47.1,938.963,0.187,1
20.213,47.07,938.952,0.0,1
20.217,47.0,938.961,0.399,1
20.22,46.99,938.965,0.298,1
20.223,46.96,938.952,0.744,1
20.227,46.93,938.96,0.651,1
20.23,46.89,938.966,0.602,1
20.234,46.85,938.976,0.113,1
20.237,46.84,938.99,0.947,1
20.24,47.58,938.997,0.32,1
20.244,48.46,939.004,0.817,1
20.247,49.22,939.005,0.305,1
20.251,49.86,939.006,0.064,1
20.254,50.36,938.994,0.08,1
20.257,50.84,938.992,0.682,1
20.261,51.12,938.991,0.686,1
20.264,51.41,939.006,0.497,1
20.267,51.69,939.012,0.95,1
20.271,51.87,939.017,0.364,1
20.274,52.04,939.01,0.764,1
20.277,52.21,939.008,0.554,1
20.28,52.31,939.007,0.598,1
20.284,52.43,939.008,0.484,1
20.287,52.53,939.013,0.846,1
20.29,52.63,939.008,0.983,1
20.293,52.69,939.011,0.032,1
20.297,52.78,939.015,0.783,1
20.3,52.83,939.015,0.504,1
20.303,52.88,939.011,0.772,1
20.306,52.94,939.009,0.983,1
20.309,53.02,939.011,0.2,1
20.312,53.02,939.001,0.656,1
20.316,53.1,939.002,0.157,1
20.319,53.12,939.001,0.782,1
20.322,53.12,938.987,0.782,1
20.325,53.18,938.987,0.468,1
20.328,53.22,938.994,0.956,1
20.331,53.23,938.989,0.405,1
20.334,53.29,938.983,0.065,1
